# Periodic data            
# atomic weights (masses actually), are the iupac 2005 values, see Pure Appl. Chem., Vol. 78, No. 11, pp. 2051–2066, 2006 and http://www.iupac.org/            
# colors from http://bodr.svn.sourceforge.net/viewvc/bodr/trunk/bodr/elements/elements.xml?view=log (revision 34)            
# Covalent bond radii from Dalton Transactions 2008, 2832-2838            
# Van der Waals radii from J. Phys. Chem., 1996, 100 (18), pp 7384–7391            
name symbol number row col mass density vdw_radius covalent_radius artificial red green blue
str str int int int u g/cm**3 A A bool float float float
Hydrogen H 1 1 1 1.00794 0.763 1.09 0.31 False 1 1 1
Helium He 2 1 18 4.002602 0.19 1.4 0.28 False 0.85 1 1
Lithium Li 3 2 1 6.941 0.534 2.2 1.28 False 0.8 0.5 1
Beryllium Be 4 2 2 9.012 1.85 1.9 0.96 False 0.76 1 0
Boron B 5 2 13 10.811 2.535 1.8 0.84 False 1 0.71 0.71
Carbon C 6 2 14 12.0107 3.52 1.75 0.73 False 0.5 0.5 0.5
Nitrogen N 7 2 15 14.0067 1.14 1.61 0.71 False 0.05 0.05 1
Oxygen O 8 2 16 15.9994 1.568 1.56 0.66 False 1 0.05 0.05
Fluorine F 9 2 17 18.9984032 1.5 1.44 0.57 False 0.7 1 1
Neon Ne 10 2 18 20.1797 1.204 1.54 0.58 False 0.7 0.89 0.96
Sodium Na 11 3 1 22.989769 0.9712 2.4 1.66 False 0.67 0.36 0.95
Magnesium Mg 12 3 2 24.305 1.74 2.2 1.41 False 0.54 1 0
Aluminum Al 13 3 13 26.9815386 2.7 2.1 1.21 False 0.75 0.65 0.65
Silicon Si 14 3 14 28.0855 2.42 2.1 1.11 False 0.5 0.6 0.6
Phosphorus P 15 3 15 30.973762 1.83 1.95 1.07 False 1 0.5 0
Sulfur S 16 3 16 32.065 2.07 1.79 1.05 False 1 1 0.19
Chlorine Cl 17 3 17 35.453 2.2 1.74 1.02 False 0.12 0.94 0.12
Argon Ar 18 3 18 39.948 1.65 1.88 1.06 False 0.5 0.82 0.89
Potassium K 19 4 1 39.0983 0.87 2.8 2.03 False 0.56 0.25 0.83
Calcium Ca 20 4 2 40.078 1.55 2.4 1.76 False 0.24 1 0
Scandium Sc 21 4 3 44.955912 3.02 2.3 1.7 False 0.9 0.9 0.9
Titanium Ti 22 4 4 47.867 4.5 2.15 1.6 False 0.75 0.76 0.78
Vanadium V 23 4 5 50.9415 5.87 2.05 1.53 False 0.65 0.65 0.67
Chromium Cr 24 4 6 51.9961 7.14 2.05 1.39 False 0.54 0.6 0.78
Manganese Mn 25 4 7 54.938045 7.3 2.05 1.39 False 0.61 0.48 0.78
Iron Fe 26 4 8 55.845 7.86 2.05 1.32 False 0.5 0.48 0.78
Cobalt Co 27 4 9 58.933195 8.71 2 1.26 False 0.44 0.48 0.78
Nickel Ni 28 4 10 58.6934 8.8 2 1.24 False 0.36 0.48 0.76
Copper Cu 29 4 11 63.546 8.933 2 1.32 False 1 0.48 0.38
Zinc Zn 30 4 12 65.409 4.32 2.1 1.22 False 0.49 0.5 0.69
Gallium Ga 31 4 13 69.723 5.93 2.1 1.22 False 0.76 0.56 0.56
Germanium Ge 32 4 14 72.64 5.46 2.1 1.2 False 0.4 0.56 0.56
Arsenic As 33 4 15 74.9216 5.73 2.05 1.19 False 0.74 0.5 0.89
Selenium Se 34 4 16 78.96 4.82 1.9 1.2 False 1 0.63 0
Bromine Br 35 4 17 79.904 4.2 1.85 1.2 False 0.65 0.16 0.16
Krypton Kr 36 4 18 83.798 3.4 2.02 1.16 False 0.36 0.72 0.82
Rubidium Rb 37 5 1 85.4678 1.53 2.9 2.2 False 0.44 0.18 0.69
Strontium Sr 38 5 2 87.62 2.6 2.55 1.95 False 0 1 0
Yttrium Y 39 5 3 88.90585 3.8 2.4 1.9 False 0.58 1 1
Zirconium Zr 40 5 4 91.224 6.44 2.3 1.75 False 0.58 0.88 0.88
Niobium Nb 41 5 5 92.90638 NA 2.15 1.64 False 0.45 0.76 0.79
Molybdenum Mo 42 5 6 95.94 9.01 2.1 1.54 False 0.33 0.71 0.71
Technetium Tc 43 5 7 NA NA 2.05 1.47 True 0.23 0.62 0.62
Ruthenium Ru 44 5 8 101.07 12.1 2.05 1.46 False 0.14 0.56 0.56
Rhodium Rh 45 5 9 102.9055 12.44 2 1.42 False 0.04 0.49 0.55
Palladium Pd 46 5 10 106.42 12.16 2.05 1.39 False 0 0.41 0.52
Silver Ag 47 5 11 107.8682 10.492 2.1 1.45 False 0.88 0.88 1
Cadmium Cd 48 5 12 112.411 8.65 2.2 1.44 False 1 0.85 0.56
Indium In 49 5 13 114.818 7.28 2.2 1.42 False 0.65 0.46 0.45
Tin Sn 50 5 14 118.71 7.29 2.25 1.39 False 0.4 0.5 0.5
Antimony Sb 51 5 15 121.76 6.62 2.2 1.39 False 0.62 0.39 0.71
Tellurium Te 52 5 16 127.6 6.25 2.1 1.38 False 0.83 0.48 0
Iodine I 53 5 17 126.90447 4.94 2 1.39 False 0.58 0 0.58
Xenon Xe 54 5 18 131.293 NA 2.16 1.4 False 0.26 0.62 0.69
Cesium Cs 55 6 1 132.9054519 1.873 3 2.44 False 0.34 0.09 0.56
Barium Ba 56 6 2 137.327 3.5 2.7 2.15 False 0 0.79 0
Lanthanum La 57 6 3 138.90547 6.15 2.5 2.07 False 0.44 0.83 1
Cerium Ce 58 9 4 140.116 6.73 2.48 2.04 False 1 1 0.78
Praesodymium Pr 59 9 5 140.90765 6.48 2.47 2.03 False 0.85 1 0.78
Neodymium Nd 60 9 6 144.242 7 2.45 2.01 False 0.78 1 0.78
Promethium Pm 61 9 7 NA NA 2.43 1.99 False 0.64 1 0.78
Samarium Sm 62 9 8 150.36 7.75 2.42 1.98 False 0.56 1 0.78
Europium Eu 63 9 9 151.964 NA 2.4 1.98 False 0.38 1 0.78
Gadolinium Gd 64 9 10 157.25 NA 2.38 1.96 False 0.27 1 0.78
Terbium Tb 65 9 11 158.92535 NA 2.37 1.94 False 0.19 1 0.78
Dyprosium Dy 66 9 12 162.5 NA 2.35 1.92 False 0.12 1 0.78
Holmium Ho 67 9 13 164.93032 NA 2.33 1.92 False 0 1 0.61
Erbium Er 68 9 14 167.259 4.77 2.32 1.89 False 0 0.9 0.46
Thulium Tm 69 9 15 168.93421 NA 2.3 1.9 False 0 0.83 0.32
Ytterbium Yb 70 9 16 173.04 NA 2.28 1.87 False 0 0.75 0.22
Lutetium Lu 71 9 17 174.967 NA 2.27 1.87 False 0 0.67 0.14
Hafnium Hf 72 6 4 178.49 11.3 2.25 1.75 False 0.3 0.76 1
Tantalium Ta 73 6 5 180.94788 16.6 2.2 1.7 False 0.3 0.65 1
Wolfram W 74 6 6 183.84 NA 2.1 1.62 False 0.13 0.58 0.84
Rhenium Re 75 6 7 186.207 20.53 2.05 1.51 False 0.15 0.49 0.67
Osmium Os 76 6 8 190.23 22.5 2 1.44 False 0.15 0.4 0.59
Iridium Ir 77 6 9 192.217 22.42 2 1.41 False 0.09 0.33 0.53
Platinum Pt 78 6 10 195.084 21.27 2.05 1.36 False 0.96 0.93 0.82
Gold Au 79 6 11 196.966569 18.88 2.1 1.36 False 0.8 0.82 0.12
Mercury Hg 80 6 12 200.59 14.193 2.05 1.32 False 0.71 0.71 0.76
Thallium Tl 81 6 13 204.3833 11.86 2.2 1.45 False 0.65 0.33 0.3
Lead Pb 82 6 14 207.2 11.48 2.3 1.46 False 0.34 0.35 0.38
Bismuth Bi 83 6 15 208.9804 9.86 2.3 1.48 False 0.62 0.31 0.71
Polonium Po 84 6 16 NA NA 2 1.4 True 0.67 0.36 0
Astatine At 85 6 17 NA NA 2 1.5 True 0.46 0.31 0.27
Radon Rn 86 6 18 NA NA 2 1.5 True 0.26 0.51 0.59
Francium Fr 87 7 1 NA NA 2 2.6 True 0.26 0 0.4
Radium Ra 88 7 2 NA 5 2 2.21 True 0 0.49 0
Actinium Ac 89 7 3 NA NA 2 2.15 True 0.44 0.67 0.98
Thorium Th 90 10 4 232.03806 NA 2.4 2.06 False 0 0.73 1
Protactinium Pa 91 10 5 231.03588 NA 2 2 False 0 0.63 1
Uranium U 92 10 6 238.02891 18.7 2.3 1.96 False 0 0.56 1
Neptunium Np 93 10 7 NA NA 2 1.9 True 0 0.5 1
Plutonium Pu 94 10 8 NA NA 2 1.87 True 0 0.42 1
Americium Am 95 10 9 NA NA 2 1.8 True 0.33 0.36 0.95
Curium Cm 96 10 10 NA NA 2 1.69 True 0.47 0.36 0.89
Berkelium Bk 97 10 11 NA NA 2 NA True 0.54 0.31 0.89
Californium Cf 98 10 12 NA NA 2 NA True 0.63 0.21 0.83
Einsteinium Es 99 10 13 NA NA 2 NA True 0.7 0.12 0.83
Fermium Fm 100 10 14 NA NA 2 NA True 0.7 0.12 0.73
Mendelevium Mv 101 10 15 NA NA 2 NA True 0.7 0.05 0.65
Nobelium No 102 10 16 NA NA 2 NA True 0.74 0.05 0.53
Lawrencium Lr 103 10 17 NA NA 2 NA True 0.78 0 0.4
Rutherfordium Rf 104 7 4 NA NA 2 NA True 0.8 0 0.35
Dubnium Db 105 7 5 NA NA 2 NA True 0.82 0 0.31
Seaborgium Sg 106 7 6 NA NA 2 NA True 0.85 0 0.27
Bohrium Bh 107 7 7 NA NA 2 NA True 0.88 0 0.22
Hassium Hs 108 7 8 NA NA 2 NA True 0.9 0 0.18
Meitnerium Mt 109 7 9 NA NA 2 NA True 0.91 0 0.15
Ununnilium Uun 110 7 10 NA NA NA NA True 0.92 0 0.14
Unununium Uuu 111 7 11 NA NA NA NA True 0.93 0 0.13
Ununbium Uub 112 7 12 NA NA NA NA True 0.94 0 0.12
Ununtrium Uut 113 7 13 NA NA NA NA True 0.95 0 0.11
