# Periodic data           
#Data obtained from http://www.physics.nist.gov/PhysRefData/Elements/cover.html           
#Atom radi from Atomic radii and covalent radii, "Chemical Systems," Chemical Bond Approach Project (1964), McGraw-Hill           
#(see http://dl.clackamas.cc.or.us/ch104-07/atomic_size.htm)           
name symbol number row col density vdw_radius bond_radius artificial red green blue
str str int int int g/cm**3 a.u. A bool float float float
Hydrogen H 1 1 1 0.763 0.43 0.3 False 0.9 0.9 0.9
Helium He 2 1 18 0.19 0.741 NA False NA NA NA
Lithium Li 3 2 1 0.534 0.88 1.52 False NA NA NA
Beryllium Be 4 2 2 1.85 0.55 1.12 False NA NA NA
Boron B 5 2 13 2.535 1.03 0.88 False NA NA NA
Carbon C 6 2 14 3.52 0.9 0.77 False 0.5 0.5 0.5
Nitrogen N 7 2 15 1.14 0.88 0.7 False 0 0 0.8
Oxygen O 8 2 16 1.568 0.88 0.66 False 0.8 0 0
Fluorine F 9 2 17 1.5 0.84 NA False 0.8 0 0.8
Neon Ne 10 2 18 1.204 0.815 NA False NA NA NA
Sodium Na 11 3 1 0.9712 1.17 1.86 False NA NA NA
Magnesium Mg 12 3 2 1.74 1.3 1.6 False NA NA NA
Aluminum Al 13 3 13 2.7 1.55 1.43 False 0.3 0.5 0.9
Silicon Si 14 3 14 2.42 1.4 1.17 False 0.9 0.5 0.3
Phosphorus P 15 3 15 1.83 1.25 1.1 False 0 0 0.6
Sulfur S 16 3 16 2.07 1.22 1.04 False 0.8 0.8 0
Chlorine Cl 17 3 17 2.2 1.19 0.99 False 0.6 0 0.6
Argon A 18 3 18 1.65 0.995 NA False NA NA NA
Potassium K 19 4 1 0.87 1.53 2.31 False NA NA NA
Calcium Ca 20 4 2 1.55 1.19 1.97 False NA NA NA
Scandium Sc 21 4 3 3.02 1.64 1.6 False NA NA NA
Titanium Ti 22 4 4 4.5 1.67 1.46 False NA NA NA
Vanadium V 23 4 5 5.87 1.53 1.31 False NA NA NA
Chromium Cr 24 4 6 7.14 1.55 1.25 False NA NA NA
Manganese Mn 25 4 7 7.3 1.55 1.29 False NA NA NA
Iron Fe 26 4 8 7.86 1.54 1.26 False NA NA NA
Cobalt Co 27 4 9 8.71 1.53 1.25 False NA NA NA
Nickel Ni 28 4 10 8.8 1.7 1.24 False NA NA NA
Copper Cu 29 4 11 8.933 1.72 1.28 False NA NA NA
Zinc Zn 30 4 12 4.32 1.65 1.33 False NA NA NA
Gallium Ga 31 4 13 5.93 1.42 1.22 False NA NA NA
Germanium Ge 32 4 14 5.46 1.37 1.22 False NA NA NA
Arsenic As 33 4 15 5.73 1.41 1.21 False NA NA NA
Selenium Se 34 4 16 4.82 1.42 1.17 False NA NA NA
Bromine Br 35 4 17 4.2 1.41 1.14 False NA NA NA
Krypton Kr 36 4 18 3.4 1.069 NA False NA NA NA
Rubidium Rb 37 5 1 1.53 1.67 2.44 False NA NA NA
Strontium Sr 38 5 2 2.6 1.32 2.15 False NA NA NA
Yttrium Y 39 5 3 3.8 1.98 1.8 False NA NA NA
