#Data obtained from http://www.physics.nist.gov/PhysRefData/Elements/cover.html                  
#Atom radi from Atomic radii and covalent radii, "Chemical Systems," Chemical Bond Approach Project (1964), McGraw-Hill                  
#(see http://dl.clackamas.cc.or.us/ch104-07/atomic_size.htm)                  
#Name Symbol Number Row Col Mass Density Bond_radius Vdw_radius Valence Lone_pairs Artificial Red Green Blue    Bond_radius
#Unit-> NA NA NA NA u g/cm**3 a0 a0 NA NA NA NA NA NA    A
Hydrogen H 1 1 1 1.00794 0.763 0.15875316249 0.43 1 0 0 0.9 0.9 0.9    0.3
Helium He 2 1 18 4.002602 0.19 0.259296832067 0.741 NA NA 0 NA NA NA    0.49
Lithium Li 3 2 1 6.941 0.534 0.804349356616 0.88 NA NA 0 NA NA NA    1.52
Beryllium Be 4 2 2 9.012182 1.85 0.592678473296 0.55 NA NA 0 NA NA NA    1.12
Boron B 5 2 13 10.811 2.535 0.465675943304 1.03 3 0 0 NA NA NA    0.88
Carbon C 6 2 14 12.0107 3.52 0.407466450391 0.9 4 0 0 0.5 0.5 0.5    0.77
Nitrogen N 7 2 15 14.0067 1.14 0.37042404581 0.88 3 1 0 0 0 0.8    0.7
Oxygen O 8 2 16 15.9994 1.568 0.349256957478 0.88 2 2 0 0.8 0 0    0.66
Fluorine F 9 2 17 18.9984032 1.5 0.269880376233 0.84 1 3 0 0.8 0 0.8    0.51
Neon Ne 10 2 18 20.1797 1.204 0.269880376233 0.815 0 4 0 NA NA NA    0.51
Sodium Na 11 3 1 22.98977 0.9712 0.984269607438 1.17 NA NA 0 NA NA NA    1.86
Magnesium Mg 12 3 2 24.305 1.74 0.84668353328 1.3 NA NA 0 NA NA NA    1.6
Aluminum Al 13 3 13 26.981538 2.7 0.756723407869 1.55 3 0 0 0.3 0.5 0.9    1.43
Silicon Si 14 3 14 28.0855 2.42 0.619137333711 1.4 4 0 0 0.9 0.5 0.3    1.17
Phosphorus P 15 3 15 30.973761 1.83 0.58209492913 1.25 3 1 0 0 0 0.6    1.1
Sulfur S 16 3 16 32.065 2.07 0.550344296632 1.22 2 2 0 0.8 0.8 0    1.04
Chlorine Cl 17 3 17 35.453 2.2 0.523885436217 1.19 1 3 0 0.6 0 0.6    0.99
Argon A 18 3 18 39.948 1.65 0.465675943304 0.995 0 4 0 NA NA NA    0.88
Potassium K 19 4 1 39.0983 0.87 1.222399351173 1.53 NA NA 0 NA NA NA    2.31
Calcium Ca 20 4 2 40.078 1.55 1.042479100351 1.19 NA NA 0 NA NA NA    1.97
Scandium Sc 21 4 3 44.95591 3.02 0.84668353328 1.64 NA NA 0 NA NA NA    1.6
Titanium Ti 22 4 4 47.867 4.5 0.772598724118 1.67 NA NA 0 NA NA NA    1.46
Vanadium V 23 4 5 50.9415 5.87 0.693222142873 1.53 NA NA 0 NA NA NA    1.31
Chromium Cr 24 4 6 51.9961 7.14 0.661471510375 1.55 NA NA 0 NA NA NA    1.25
Manganese Mn 25 4 7 54.938049 7.3 0.682638598707 1.55 NA NA 0 NA NA NA    1.29
Iron Fe 26 4 8 55.845 7.86 0.666763282458 1.54 NA NA 0 NA NA NA    1.26
Cobalt Co 27 4 9 58.9332 8.71 0.661471510375 1.53 NA NA 0 NA NA NA    1.25
Nickel Ni 28 4 10 58.6934 8.8 0.656179738292 1.7 NA NA 0 NA NA NA    1.24
Copper Cu 29 4 11 63.546 8.933 0.677346826624 1.72 NA NA 0 NA NA NA    1.28
Zinc Zn 30 4 12 65.409 4.32 0.703805687039 1.65 NA NA 0 NA NA NA    1.33
Gallium Ga 31 4 13 69.723 5.93 0.645596194126 1.42 NA NA 0 NA NA NA    1.22
Germanium Ge 32 4 14 72.64 5.46 0.645596194126 1.37 NA NA 0 NA NA NA    1.22
Arsenic As 33 4 15 74.9216 5.73 0.640304422043 1.41 NA NA 0 NA NA NA    1.21
Selenium Se 34 4 16 78.96 4.82 0.619137333711 1.42 NA NA 0 NA NA NA    1.17
Bromine Br 35 4 17 79.904 4.2 0.603262017462 1.41 NA NA 0 NA NA NA    1.14
Krypton Kr 36 4 18 83.798 3.4 0.545052524549 1.069 NA NA 0 NA NA NA    1.03
Rubidium Rb 37 5 1 85.4678 1.53 1.291192388252 1.67 NA NA 0 NA NA NA    2.44
Strontium Sr 38 5 2 87.62 2.6 1.137730997845 1.32 NA NA 0 NA NA NA    2.15
Yttrium Y 39 5 3 88.90585 3.8 0.95251897494 1.98 NA NA 0 NA NA NA    1.8
Zirconium Zr 40 5 4 91.224 6.44 0.830808217031 1.76 NA NA 0 NA NA NA    1.57
Niobium Nb 41 5 5 92.90638 NA 0.746139863703 1.68 NA NA 0 NA NA NA    1.41
Molybdenum Mo 42 5 6 95.94 9.01 0.719681003288 1.67 NA NA 0 NA NA NA    1.36
Technetium Tc 43 5 7 98 NA 0.68793037079 1.55 NA NA 1 NA NA NA    1.3
Ruthenium Ru 44 5 8 101.07 12.1 0.703805687039 1.6 NA NA 0 NA NA NA    1.33
Rhodium Rh 45 5 9 102.9055 12.44 0.709097459122 1.65 NA NA 0 NA NA NA    1.34
Palladium Pd 46 5 10 106.42 12.16 0.730264547454 1.7 NA NA 0 NA NA NA    1.38
Silver Ag 47 5 11 107.8682 10.492 0.762015179952 1.79 NA NA 0 NA NA NA    1.44
Cadmium Cd 48 5 12 112.411 8.65 0.788474040367 1.89 NA NA 0 NA NA NA    1.49
Indium In 49 5 13 114.818 7.28 0.857267077446 1.83 NA NA 0 NA NA NA    1.62
Tin Sn 50 5 14 118.71 7.29 0.74084809162 1.66 NA NA 0 NA NA NA    1.4
Antimony Sb 51 5 15 121.76 6.62 0.746139863703 1.66 NA NA 0 NA NA NA    1.41
Tellurium Te 52 5 16 127.6 6.25 0.724972775371 1.67 NA NA 0 NA NA NA    1.37
Iodine I 53 5 17 126.90447 4.94 0.703805687039 1.6 1 3 0 NA NA NA    1.33
Xenon Xe 54 5 18 131.293 NA 0.656179738292 1.75 0 4 0 NA NA NA    1.24
Cesium Cs 55 6 1 132.90545 1.873 1.386444285746 1.87 NA NA 0 NA NA NA    2.62
Barium Ba 56 6 2 137.327 3.5 1.148314542011 1.54 NA NA 0 NA NA NA    2.17
Lanthanum La 57 6 3 138.9055 6.15 NA 2.07 NA NA 0 NA NA NA    NA
Cerium Ce 58 9 4 140.116 6.73 NA 2.03 NA NA 0 NA NA NA    NA
Praesodymium Pr 59 9 5 140.90765 6.48 NA 2.02 NA NA 0 NA NA NA    NA
Neodymium Nd 60 9 6 144.24 7 NA 2.01 NA NA 0 NA NA NA    NA
Promethium Pm 61 9 7 145 NA NA 2 NA NA 0 NA NA NA    NA
Samarium Sm 62 9 8 150.36 7.75 NA 2 NA NA 0 NA NA NA    NA
Europium Eu 63 9 9 151.964 NA NA 2.19 NA NA 0 NA NA NA    NA
Gadolinium Gd 64 9 10 157.25 NA NA 1.99 NA NA 0 NA NA NA    NA
Terbium Tb 65 9 11 158.92534 NA NA 1.96 NA NA 0 NA NA NA    NA
Dyprosium Dy 66 9 12 162.5 NA NA 1.95 NA NA 0 NA NA NA    NA
Holmium Ho 67 9 13 164.93032 NA NA 1.94 NA NA 0 NA NA NA    NA
Erbium Er 68 9 14 167.259 4.77 NA 1.93 NA NA 0 NA NA NA    NA
Thulium Tm 69 9 15 168.93421 NA NA 1.92 NA NA 0 NA NA NA    NA
